timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687138060339,9,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-1,text,true,,529,261,1,1,http://localhost:3000/,9,0,1
1687138060389,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-2,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138060440,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-3,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138060489,5,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-4,text,true,,529,261,1,1,http://localhost:3000/,5,0,1
1687138060540,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-5,text,true,,529,261,1,1,http://localhost:3000/,4,0,1
1687138060589,5,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-6,text,true,,529,261,1,1,http://localhost:3000/,5,0,1
1687138060639,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-7,text,true,,529,261,1,1,http://localhost:3000/,4,0,1
1687138060689,5,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-8,text,true,,529,261,1,1,http://localhost:3000/,5,0,1
1687138060741,5,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-9,text,true,,529,261,1,1,http://localhost:3000/,5,0,1
1687138060792,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-10,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138060841,6,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-11,text,true,,529,261,1,1,http://localhost:3000/,6,0,0
1687138060889,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-12,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138060940,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-13,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138060990,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-14,text,true,,529,261,1,1,http://localhost:3000/,4,0,1
1687138061040,5,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-15,text,true,,529,261,1,1,http://localhost:3000/,5,0,0
1687138061090,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-16,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138061139,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-17,text,true,,529,261,1,1,http://localhost:3000/,4,0,1
1687138061190,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-18,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138061240,4,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-19,text,true,,529,261,1,1,http://localhost:3000/,4,0,0
1687138061290,5,GraphQL HTTP Request - All users,200,OK,Thread Group - Low Volume 2-20,text,true,,529,261,1,1,http://localhost:3000/,5,0,1
